index,Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
0, disaat semua cowok berusaha melacak perhatian gue loe lantas remehkan perhatian yg gue kasih khusus ke elo basic elo cowok bego ,1,1,1,0,0,0,0,0,1,1,0,0
1, siapa yang telat ngasih tau elu edan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga ,0,1,0,0,0,0,0,0,0,0,0,0
2,41 kadang aku berfikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkali kali kadang aku merasa tuhan itu ninggalkan aku sendirian ketika orangtuaku berencana berpisah ketika kakakku lebih memilih jadi kristen ketika aku anak ter,0,0,0,0,0,0,0,0,0,0,0,0
3, aku itu aku n nku tau matamu sipit tapi diliat dari mana itu aku ,0,0,0,0,0,0,0,0,0,0,0,0
4, kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah ,1,1,0,1,1,0,0,0,0,0,1,0
5, ya bani taplak dkk xf0 x9f x98 x84 xf0 x9f x98 x84 xf0 x9f x98 x84 ,1,1,0,1,0,0,0,0,1,0,1,0
6,deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon,0,0,0,0,0,0,0,0,0,0,0,0
7,gue baru aja kelar re watch aldnoah zero paling kampret emang endingnya 2 karakter utama cowonya kena friendzone bray xd url,0,1,0,0,0,0,0,0,0,0,0,0
8,nah admin belanja satu lagi port terbaik nak makan ais kepal milo ais kepal horlicks atau cendol toping kaw kaw doket mano tu gerai rojak mertuaku taipan 2 depan twins baby amp romantika bank islam senawang ,0,0,0,0,0,0,0,0,0,0,0,0
9, enak lg klo smbil ngewe ,0,1,0,0,0,0,0,0,0,0,0,0
10,setidaknya gw punya jari tengah buat lu sebelom gw ukur nyali sama bacot lu xf0 x9f x98 x8f ,1,1,1,0,0,0,0,0,1,1,0,0
11, banci kaleng malu ga bisa jawab pe anyaan kami dari 2 hari lalu nyungsep koe url,1,1,1,0,0,0,0,1,0,1,0,0
12,kalo belajar ekonomi mestinya jago memprivatisasi hati orang duh ironi ,0,0,0,0,0,0,0,0,0,0,0,0
13,aktor huruhara 98 prabowo s ingin lengserkan pemerintahan jokowi nyata,1,0,1,0,0,0,0,0,1,1,0,0
14, bu guru enakan jadi jablay atau guru esde sih nkayaknya menikmati jadi pecun ini guru ,1,1,1,0,0,0,0,1,0,1,0,0
15, lawan bicara gw gak intelek kyk loe yg otak gak punya ttg kencing onta gw mengakui hadis nabi dan itu sahih kafir kyk loe pasti menolak makanya loe ahlunnar ,1,1,1,0,1,0,0,0,0,1,0,0
16,belakangan ini kok fikiran ampas banget ya ,0,0,0,0,0,0,0,0,0,0,0,0
17,ari sarua beki mah repeh monyet xf0 x9f x98 x86 xf0 x9f x98 x86 ,0,1,0,0,0,0,0,0,0,0,0,0
18,jadi cowo itu harus gantle kalo ga gantle itu namanya banci ,1,1,0,1,0,0,0,1,0,0,1,0
19, slga mnr bom xf0 x9f x98 x82 ,0,0,0,0,0,0,0,0,0,0,0,0
20,asw ya tapi gua jarang ngambek tacut wkkwkwkwkw gua kan bucin ,0,1,0,0,0,0,0,0,0,0,0,0
21, kalo kamu noob pasti peluang disakitin nya lebih gede si ,0,0,0,0,0,0,0,0,0,0,0,0
22, joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g,0,0,0,0,0,0,0,0,0,0,0,0
23,pelajar sma kec bilah hilir deklarasi anti hoax amp pilkada 2018 damai,0,0,0,0,0,0,0,0,0,0,0,0
24,bandara udara internasional kertajati dibangun oleh gubernur ahmad heryawan tanpa gunakan apbn pemerintah pusat insya allah siap beroperasi bulan depan ,0,0,0,0,0,0,0,0,0,0,0,0
25,siapapun gubernur dan presidennya rakyatnya ya kita juga ,0,0,0,0,0,0,0,0,0,0,0,0
26,ini si kerjaannya delay mulu setan ,1,1,0,1,0,0,0,0,1,0,1,0
27,menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget,0,0,0,0,0,0,0,0,0,0,0,0
28, pki hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong ,1,0,0,1,0,1,0,0,0,0,1,0
29, itu mah sdh nenek nenek sy heran sama cebong biasay bohong terus ,1,1,1,0,0,0,0,0,1,1,0,0
30, islam nusantara produk jil dipasarkan dg gencar oleh antek xc2 xb2 jil n nsementara jil anti arab tapi pro aseng n nkata alm kh hasyim muzadi ,1,0,0,1,1,0,0,0,0,0,1,0
31,dari habis sahur sampe jam 10 sibayik udah nete 4x skg rasanya lemas tak terkira xf0 x9f xa4 xa2 ,0,0,0,0,0,0,0,0,0,0,0,0
32, gak kak emak mah gak demen ama yang sipit wkwk ,0,0,0,0,0,0,0,0,0,0,0,0
33, kelakuan homok jaman now ngentot aja sambil live di blued gayvid gvid lokalhangat url,0,1,0,0,0,0,0,0,0,0,0,0
34, ga kak gua bukan orang jawa maaf yak gua orang palembang soalnya kakak aja deh yg belajar aksara jawa atau kalak mau belajar budaya palembang ,0,0,0,0,0,0,0,0,0,0,0,0
35,pegawai guardian training lagi kek mentang2 gue kek gembel cuman kaos sama flat shoes nanya dijutekin bangsad emang males belinya juga kabur gua ke matahari ,1,1,0,1,0,0,0,0,1,0,1,0
36, xe2 x80 x9dpara bajingan yang telah melukai lady harus menerima ganjaran seratus kali lipat xe2 x80 x9d sanji hbd17thpelautjkt48 ,0,1,0,0,0,0,0,0,0,0,0,0
37,ajakan menolak berita hoax dan sukseskan pilkada di wilayah kota keidri ,0,0,0,0,0,0,0,0,0,0,0,0
38, presiden ri jokowi luarbiasa kerja nya tulus ihlas untuk rakyatb3rsamajkw,0,0,0,0,0,0,0,0,0,0,0,0
39,edan emang goollnya fabiano ,0,1,0,0,0,0,0,0,0,0,0,0
40,gapernah mendalami al quran ya bang pantesan mulutnya kaya orang kafir bejat hina farhatabbaslaw ,1,1,1,0,1,0,1,0,0,1,0,0
41,sangat terlihat beda sekali kewibawaannya yg sangat berwibawa cuma gubernur indonesia massya allah ,0,0,0,0,0,0,0,0,0,0,0,0
42,anjir baru kali ini lihat orang bego mau debat pilkada kerjanya nyerang karakter shame on you mpok silvy and agus debatfinalpilkadajkt,1,1,0,1,0,0,0,0,1,0,1,0
43, gubernurzamannow gusipulputi2 ganjaryasin1 djarotsihar2 hasananton2 kosterace1 nurdinsudirman3 karolingidot2 keanekaragaman budaya suku agama itulah sesungguhnya kekayaan kita tutur djarot di hadapan peserta rakercabsu ,0,0,0,0,0,0,0,0,0,0,0,0
44, apa iya islam itu ga boleh dilokalisasi lha kristen aja mas ada nusantaranya mas liat aja di gereja di bandung ada yg pake gamelan dan ada yg khotbah pake bhs sunda jawa ada hkbp juga kurang nusantara apa ,0,0,0,0,0,0,0,0,0,0,0,0
45,ciptakan situasi kamtibmas menjelang pilkada 2018 kapolsek konang silaturahmi ke tokoh masyarakat,0,0,0,0,0,0,0,0,0,0,0,0
46, positif kok nse positif respon masyarakat terhadap n cangkul impor n garam impor n beras impor n jagung impor n tenaga kerja impor n esemka impor n nurl,0,0,0,0,0,0,0,0,0,0,0,0
47, kata sembahyang mengadopsi tradisi lokal pada masa kerjaan hindu n nistilah xc2 xa0sembahyang xc2 xa0pun lahir dari tradisi ritus xc2 xa0menyembahhyang yang tunggal sama dengan xc2 xa0shalat menyembah all,0,0,0,0,0,0,0,0,0,0,0,0
48,kau pendikan tinggi tapi bodoh gk ada larang bawa agama biar orang islam yg di bayar ahok sadar gk jadi milih ahok gla,1,1,1,0,0,0,0,0,1,1,0,0
49, btp the best abaikan kaum kampret otak micin ,1,1,0,1,0,0,0,0,1,0,1,0
50, si otak tempurung mah ga usah d ladenin smkn d lawan semakin bloon dan dungu dan kalo ga gitu dia ga makan hehe ,1,1,1,0,0,0,0,0,1,1,0,0
51, awaasss jgn sampe beritanya sampe ke akhi gerung ntar susah nyari kosakatany klu bcr aja micingin mata bibir monyong kesamping suara keluar ky lg nhn kentut politik kotor skl jmn ini klu tahu brt ini plng sambil ky nhn ngeden dungu xf0 x9f x98 x8b,1,1,1,0,0,0,1,0,0,1,0,0
52,pinokio umur 3 taonan tuh 2019gantipresiden,1,0,1,0,0,0,0,0,1,1,0,0
53, cerita silat lae xf0 x9f x98 x80 semacam kho ping hoo yang dari indonesia tapi liang ie shen penulis dari china ,0,0,0,0,0,0,0,0,0,0,0,0
54, benci sekali dgn umat islam,1,0,0,1,1,0,0,0,0,0,1,0
55, provokasi mayat politisasi agama penyebab kekalahan pilkada dki beginilah cara cebong mendeskripsikan kekalahan junjungannya fyi ahog blm pernah ikut pemilihan apapun kec jd wakil dan dia bukanlah etnis mayorita,1,1,1,0,0,1,0,0,0,1,0,0
56, dari pada gua nete ,0,1,0,0,0,0,0,0,0,0,0,0
57, lol bani lowo ,1,1,0,1,0,0,0,0,1,0,1,0
58,takabur bisa lahir dari siapa saja penguasa rakyat ulama maupun cendikia bahkan iblis mahluq yg alim amp telah beribadah beratus2 th dilaknat krn hasud takabburnya apalagi hanya seorang ahli ilmu filsafat yg tdk failosof mari kita demo diri sendi,0,0,0,0,0,0,0,0,0,0,0,0
59,a orang yang suka ke konser konser sedikit boros ,0,0,0,0,0,0,0,0,0,0,0,0
60, sampai kapan makan racun banyak ulama yang mengatakan hukum rokok mubah dan ada juga ,0,0,0,0,0,0,0,0,0,0,0,0
61,susilo bambang yudhoyono presiden ri ke 6 meminta khofifah emil untuk dekat dengan masyarakat no 1 bisa baguss khofifahemilnomer1,0,0,0,0,0,0,0,0,0,0,0,0
62, udah biasa kali gue kpoper tapi kalo ngomonv sama temen2 gue idol gua banci homo ,1,1,1,0,0,0,0,1,0,1,0,0
63,saya suka video url awal kisah perseteruan haji bolot amp malih tongtong ,0,0,0,0,0,0,0,0,0,0,0,0
64,budaya kafir bersungguh klau hal2 islam tidak diendahkan ,0,0,0,0,0,0,0,0,0,0,0,0
65, xf0 x9f x8e xb6 la la la hm hmm xf0 x9f x8e xa7 semua diam semua bisu n kita coba tanya sama rumput yg bergoyang n xe2 x99 xab xe2 x99 xab xe2 x99 xab xe2 x99 xaa xe2 x99 xaa xe2 x99 xaa ,0,0,0,0,0,0,0,0,0,0,0,0
66,apabila setan membisikkan was was kepadamu mintalah perlindungan kepada allah qs al a xe2 x80 x99raf 200 dan fushilat 36 ,0,0,0,0,0,0,0,0,0,0,0,0
67, klw ente atheis ngapain sibuk dgn agama orang ,0,0,0,0,0,0,0,0,0,0,0,0
68,lengserkan jokowi bangsat ,1,1,1,0,0,0,0,0,1,0,0,1
69, selamat hari kartini 2019gantipresiden 2019presidenbaru,0,0,0,0,0,0,0,0,0,0,0,0
70, bajingan homo nhati2 terhadap anak2 kita terutama di kamar mandi laki2 jgn biarkan sendiri url,1,1,1,0,0,0,0,1,0,1,0,0
71, iya cocot ,1,1,1,0,0,0,0,0,1,1,0,0
72, karena budaya indonesia ,0,0,0,0,0,0,0,0,0,0,0,0
73, yang ngajarin solat a ajah itu orang aseng dia hanya ingin memecah belah islam ,0,0,0,0,0,0,0,0,0,0,0,0
74, x lo ngomong aja kaga bener bangke ,1,1,1,0,0,0,0,0,1,1,0,0
75, kita semua tidak pernah akan mempercayai yg negara kita disuatu hari nanti akan dijajah oleh kerana terdapat kes2pembubaran sistem2 beraja dinegara kita kini untuk menjadikan sebagai negara republik komunis padahal negara2 penjaja,0,0,0,0,0,0,0,0,0,0,0,0
76,tapi masih menikmati kebijakan yang dulu diusulkan pki lha yo opo ,1,0,0,1,0,1,0,0,0,0,1,0
77,kalo seumpama orang cina di usir paksa dari indonesia gimana,1,0,0,1,0,1,0,0,0,0,1,0
78, bunda ngentot yuk ,0,1,0,0,0,0,0,0,0,0,0,0
79, china babi china maling n usirchina https t co 9y4hiwhjp2,1,1,0,1,0,1,0,0,0,0,0,1
80,bung karno anti asing dan beliau dari jawa coba deh adain konsensus lebih banyak mana jawa yang anti asing atau pro asing karena kebo ohannya n nkalau kami keliru kami tutup akun ,0,0,0,0,0,0,0,0,0,0,0,0
81,proyek korupsi rezim sby url,1,0,1,0,0,0,0,0,1,1,0,0
82, wajar saja lihat saja tingkah bbrp petinggi negeri ini yg suka mencampur bhs indonesia dgn bhs asing setiap kali bicara ,0,0,0,0,0,0,0,0,0,0,0,0
83,ab pribadi yg senang berkompetisi dalam hal yang baik dan positif,0,0,0,0,0,0,0,0,0,0,0,0
84, terus menurut lo kitab suci agama apa yg di bilang om mendadakkalap,1,0,1,0,0,0,0,0,1,1,0,0
85, suka nutup mata kaga ditutup pun udah terlihat tertutup gara2 sipit ,0,0,0,0,0,0,0,0,0,0,0,0
86, sy sbg muslim tdk merasa pak menistakan kitab suci alqur an krn dlm alqur an sndri ada bbrp suku kata yg smpai dtik ini blm diketahui mkna faktualnya olh umat islam tp kami yakini kata tsb ada makna yg tersirat fiksi yg blm,0,0,0,0,0,0,0,0,0,0,0,0
87, eh kasar kau kampang ,1,1,1,0,0,0,0,0,1,1,0,0
88,bentar lagi gua rilis album the onta s wkwkwkwkwk ,0,0,0,0,0,0,0,0,0,0,0,0
89, ada cebong bang dia merasa paling benar ,1,1,1,0,0,0,0,0,1,1,0,0
90,najis banget gw ngetwit apa barusan wey ,0,1,0,0,0,0,0,0,0,0,0,0
91,kamu transgender atau gmn anjing url,1,1,1,0,0,0,0,1,0,1,0,0
92, awas bintitan lu ngintipin titit kucing ,0,1,0,0,0,0,0,0,0,0,0,0
93, bawel baper bolot baik bodor gaje wkwk apa ya udah itu aja deh ,0,1,0,0,0,0,0,0,0,0,0,0
94, gue saranin gk perlu bnyk bacot maling ayat langsung to the point aja lu jadi orang yg tdk sepaham lu teriakin aja kafir sesat liberal pemuja dukun bla blaaa pasti hatimu puas dehh ,1,1,1,0,1,0,0,0,0,1,0,0
95,jgn salah target bkn ahok agenda utama lengserkan jokowi ,1,0,1,0,0,0,0,0,1,0,0,1
96, masa baru kena hestek aja udah kepanasan kepo banget 2019gantipresiden,1,0,1,0,0,0,0,0,1,1,0,0
97,maju lu sini duit tapi kau goyang kaki tak buat pape mana la duit nak maju kat kau bodo url,0,1,0,0,0,0,0,0,0,0,0,0
98, hkbp berdiri itu sejak pecahnya kristen khatolik pada zaman penjajahan belanda dl tdk ada yg namanya kristen protestan yg ada cm kristen khatolik nterjadilah perpecahan dan berdirilah hkbp yg prtama kali di tarutung n nnah skrg anda sy k,0,0,0,0,0,0,0,0,0,0,0,0
99,ha ha banyak baca biar pintar jepang amerika china utang sama siapa anda tau enggak ,0,0,0,0,0,0,0,0,0,0,0,0
100,prabowo sudah kalah menyebut bantuan jokowi hanya pencitraan adalah ratapan pilu,1,0,1,0,0,0,0,0,1,1,0,0
101, dan yang takut dengan adzan adalah iblis ,0,0,0,0,0,0,0,0,0,0,0,0
102, yg goblog itu adalah bani cebong tukang tipu penjilat penguasa yg ketahuan gerakin masa yg dibayar pakai nasi bungkus propaganda nasi bungkus memang selalu gagal ,1,1,0,1,0,0,0,0,1,0,1,0
103, wuih cebong sewot n xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 ,1,1,1,0,0,0,0,0,1,1,0,0
104,2 gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa,0,0,0,0,0,0,0,0,0,0,0,0
105,padahal gubernur saat ini djarot mayoritas partai politik di dprd juga pendukung ahok djarot payah ya mereka url,1,0,1,0,0,0,0,0,1,1,0,0
106, rezim rusak bukan memperbaiki systeamnya malah sibuk cari2 kesalahan klu itu pasti ketemu aja kpk alatnya besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi orangnya ,0,0,0,0,0,0,0,0,0,0,0,0
107,saat orang orang saling menuding antek aseng aseng sesungguhnya bertepuk tangan ,0,0,0,0,0,0,0,0,0,0,0,0
108, nah loh katanya anti aseng ,0,0,0,0,0,0,0,0,0,0,0,0
109,selamat pak semoga bisa terus berkiprah bahkan tingkat nasional ,0,0,0,0,0,0,0,0,0,0,0,0
110, asyikm3nang saya sih ikut ulama saja,0,0,0,0,0,0,0,0,0,0,0,0
111, yang saya ketahui bahwa diketapang banyak tka asing yg berkerja di berbagai perusahaan termasuk pt who tambang bouksid yg viral saat pilpres dulu ndan bisa jadi ini karena kerja sama tsb terjadi di era gubernur cornelis dan wakilnya ora,0,0,0,0,0,0,0,0,0,0,0,0
112, anak pecun ga jauh2 dr hobi zina haha ,1,1,1,0,0,0,0,1,0,1,0,0
113, que bom sbbsnsn ,0,0,0,0,0,0,0,0,0,0,0,0
114, istirahat aja pak presiden momentum sudah berlalu saya pernah jadi saksi telinga dan mata awal rapat pembentukan pd di pacitan tahun 2003,0,0,0,0,0,0,0,0,0,0,0,0
115,pada 1979 house select committee on assassinations hsca menemukan cacat investigasi yang dilakukan fbi dan warren commission hsca juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya ,0,0,0,0,0,0,0,0,0,0,0,0
116, tak terasa genap 1 tahun mendatang 17 april 2018 akan digelar hajatan pilpres acara tahunan negara indonesia untuk memilih presiden semoga senantiasa berjalan aman dan lancar amin ,0,0,0,0,0,0,0,0,0,0,0,0
117, ian pantat ,0,1,0,0,0,0,0,0,0,0,0,0
118, ngakunya org pintar dan beragama emangnya agama mana yg memperbolehkan menista dan menghujat org lain jgnkan orang bodoh org yg maaf sejak lahir idiot sekalipun dia kita hrs hargain sebagai sesama ciptaan tuhan ingat iblis itu juga pintar dan sangat licik ,0,1,0,0,0,0,0,0,0,0,0,0
119,pendaftaran capres untuk pilpres2019 saja belum dibuka sampai agustus 2018 yang normatif begini politikus pdip masih belum paham 2019gantipresiden ,1,0,0,1,0,0,0,0,1,0,1,0
120,si tolol udah tau pemerintah rezim komunis ini bobrok koruptor bisa pimpinan sidang dpr paya cebong url,1,1,1,0,0,1,0,0,0,1,0,0
121,dari dulu kenapa bapak w kalau ke mantan mantan w selalu mgerasa sedih ampe kepikiran dan gabisa tidur lohh dan w ngerasa jadi anak yg brengsek aja gt ke laki2 ,0,1,0,0,0,0,0,0,0,0,0,0
122,cina perusak bangsa usir stuju ,1,0,0,1,0,1,0,0,0,0,0,1
123, 2019gantipresiden scra konstitusional hak setiap rakyat woiii gini nih kalo planga plongo tapi kelakuan otoriter ,1,1,1,0,0,0,0,0,1,1,0,0
124,mari kita wujudkan pilkada kota bengkulu 2018 aman dan damai coki adem86 98heru ,0,0,0,0,0,0,0,0,0,0,0,0
125,mau tanya serius ini sm presiden jokowi knp yg ada cm islam nusantara knp tdk ada kristen nusantara budha hindu bahkan kong huchu nusantara ,0,0,0,0,0,0,0,0,0,0,0,0
126,korsa pernyataan moeldoko bukti istana takut dengan kebangkitan umat islam,0,0,0,0,0,0,0,0,0,0,0,0
127,cowo yang jago drasex mana sini ngentot sama adek luvian ,0,1,0,0,0,0,0,0,0,0,0,0
128, kroasia itu kapir tauuu ngapain blajar sm kapir udh lupa sm kapling sorga ,1,1,0,1,1,0,0,0,0,0,1,0
129, loh bukan nya mentri suharto ada yg homo ,1,1,1,0,0,0,0,1,0,1,0,0
130,gue tau loh bukan yang dulu yang masih culun dan cemen semua orang pasti akan berubah perlahan2 entah itu baik buruk ,0,0,0,0,0,0,0,0,0,0,0,0
131,pada perang salib dulu itu kerajaan di afrika terbagi dua yakni babilonia pemeluk kristen dan tobaco pemeluk islam ,0,0,0,0,0,0,0,0,0,0,0,0
132,kejar setorang memang cukup bangsad mana rupiah turun xf0 x9f x98 xa5 ,1,1,1,0,0,0,0,0,1,1,0,0
133,moga ini ada tindak lanjutnya pelaporan terhadap penista agama ade armando akan dilakukan langsung oleh ketua umum fpi kh shobri lubis ke bareskrim mabes polri gambir jakarta pusat pada selasa 10 4 pukul 13 00 wib perhaps ,1,0,1,0,1,0,0,0,0,1,0,0
134, bangke hajar ,1,1,1,0,0,0,0,0,1,0,0,1
135, nonta mati klo kebanyakan minum ,1,0,0,1,0,0,0,0,1,0,1,0
136,url ahok tng mrka trus was was hdpnya ,1,0,1,0,0,0,0,0,1,1,0,0
137,itu baru di sul teng ini ekses akibat tersandera hutang china 2019gantipresiden 2019presidenbaru 2019tetapjokowiganti,1,0,1,0,0,0,0,0,1,1,0,0
138,6 pride yunani xe1 xbd x99 xcf x80 xce xb5 xcf x81 xce xb7 xcf x86 xce xb1 xce xbd xce xaf xce xb1 hyper xc4 x93phania keangkuhan harga diri kesombongan ndikenal juga dengan sebutan hubris vanity harga diri yang tinggi dapat merubah manusia sombong kesombongan membuat manusia terkutuk dimata tuhan dan dapat membuat manusia mencintai dirinya sendiri ,0,0,0,0,0,0,0,0,0,0,0,0
139,aku bertanya tujuan pada hati nlogikaku yg menjawab ntapi hati tak tenang naku bertanya pada logika nhatiku sedih nku cari jawaban dalam wasiat yg beliau tinggalkan ndan aku mulai menjadi terasing dan asing di mata manusia ntak apa duhai diri ada,0,0,0,0,0,0,0,0,0,0,0,0
140, tak hanya kurang bertaji nya kpk era ini tapi era ini juga komitmen dlm pemberantasan korupsi tdk spt di era pak sby ,1,0,0,1,0,0,0,0,1,0,1,0
141, admin tolol di partai tolol npartai tolol untuk orang tolol ,1,1,0,1,0,0,0,0,1,0,1,0
142, ayu ting ting goyang hot dekat raffi ahmad nagita slavina kampungan norak url,0,1,0,0,0,0,0,0,0,0,0,0
143,video ttg tka dibuat oleh malaysia tapi mengutip pernyataan saya di ,0,0,0,0,0,0,0,0,0,0,0,0
144,ppp jangan buru buru tolak wacana pilkada lewat dprd,0,0,0,0,0,0,0,0,0,0,0,0
145,random pagi2 ada bapak2 nyamperin ke meja kerja trus nanya pake bedak apa sih biar mukanya bersih istri saya butek soalnya ningin ku jawab pake air wudhu tapi ku kristen ,0,0,0,0,0,0,0,0,0,0,0,0
146, ko gua kampret ,0,1,0,0,0,0,0,0,0,0,0,0
147,memek lonte pengen disodok kontol gede ,0,1,0,0,0,0,0,0,0,0,0,0
148,jokowi aja yg mundur tutup url,1,0,1,0,0,0,0,0,1,1,0,0
149, ngomong opo itu mulut kok seperti banci beli kaca dulu lihat dirimu broo ,1,1,1,0,0,0,0,1,0,1,0,0
